series_id,date,value
CUSR0000SA0,2000-01-01,169.3
CUSR0000SA0,2000-02-01,170
CUSR0000SA0,2000-03-01,171
CUSR0000SA0,2000-04-01,170.9
CUSR0000SA0,2000-05-01,171.2
CUSR0000SA0,2000-06-01,172.2
CUSR0000SA0,2000-07-01,172.7
CUSR0000SA0,2000-08-01,172.7
CUSR0000SA0,2000-09-01,173.6
CUSR0000SA0,2000-10-01,173.9
CUSR0000SA0,2000-11-01,174.2
CUSR0000SA0,2000-12-01,174.6
CUSR0000SA0,2001-01-01,175.6
CUSR0000SA0,2001-02-01,176
CUSR0000SA0,2001-03-01,176.1
CUSR0000SA0,2001-04-01,176.4
CUSR0000SA0,2001-05-01,177.3
CUSR0000SA0,2001-06-01,177.7
CUSR0000SA0,2001-07-01,177.4
CUSR0000SA0,2001-08-01,177.4
CUSR0000SA0,2001-09-01,178.1
CUSR0000SA0,2001-10-01,177.6
CUSR0000SA0,2001-11-01,177.5
CUSR0000SA0,2001-12-01,177.4
CUSR0000SA0,2002-01-01,177.7
CUSR0000SA0,2002-02-01,178
CUSR0000SA0,2002-03-01,178.5
CUSR0000SA0,2002-04-01,179.3
CUSR0000SA0,2002-05-01,179.5
CUSR0000SA0,2002-06-01,179.6
CUSR0000SA0,2002-07-01,180
CUSR0000SA0,2002-08-01,180.5
CUSR0000SA0,2002-09-01,180.8
CUSR0000SA0,2002-10-01,181.2
CUSR0000SA0,2002-11-01,181.5
CUSR0000SA0,2002-12-01,181.8
CUSR0000SA0,2003-01-01,182.6
CUSR0000SA0,2003-02-01,183.6
CUSR0000SA0,2003-03-01,183.9
CUSR0000SA0,2003-04-01,183.2
CUSR0000SA0,2003-05-01,182.9
CUSR0000SA0,2003-06-01,183.1
CUSR0000SA0,2003-07-01,183.7
CUSR0000SA0,2003-08-01,184.5
CUSR0000SA0,2003-09-01,185.1
CUSR0000SA0,2003-10-01,184.9
CUSR0000SA0,2003-11-01,185
CUSR0000SA0,2003-12-01,185.5
CUSR0000SA0,2004-01-01,186.3
CUSR0000SA0,2004-02-01,186.7
CUSR0000SA0,2004-03-01,187.1
CUSR0000SA0,2004-04-01,187.4
CUSR0000SA0,2004-05-01,188.2
CUSR0000SA0,2004-06-01,188.9
CUSR0000SA0,2004-07-01,189.1
CUSR0000SA0,2004-08-01,189.2
CUSR0000SA0,2004-09-01,189.8
CUSR0000SA0,2004-10-01,190.8
CUSR0000SA0,2004-11-01,191.7
CUSR0000SA0,2004-12-01,191.7
CUSR0000SA0,2005-01-01,191.6
CUSR0000SA0,2005-02-01,192.4
CUSR0000SA0,2005-03-01,193.1
CUSR0000SA0,2005-04-01,193.7
CUSR0000SA0,2005-05-01,193.6
CUSR0000SA0,2005-06-01,193.7
CUSR0000SA0,2005-07-01,194.9
CUSR0000SA0,2005-08-01,196.1
CUSR0000SA0,2005-09-01,198.8
CUSR0000SA0,2005-10-01,199.1
CUSR0000SA0,2005-11-01,198.1
CUSR0000SA0,2005-12-01,198.1
CUSR0000SA0,2006-01-01,199.3
CUSR0000SA0,2006-02-01,199.4
CUSR0000SA0,2006-03-01,199.7
CUSR0000SA0,2006-04-01,200.7
CUSR0000SA0,2006-05-01,201.3
CUSR0000SA0,2006-06-01,201.8
CUSR0000SA0,2006-07-01,202.9
CUSR0000SA0,2006-08-01,203.8
CUSR0000SA0,2006-09-01,202.8
CUSR0000SA0,2006-10-01,201.9
CUSR0000SA0,2006-11-01,202
CUSR0000SA0,2006-12-01,203.1
CUSR0000SA0,2007-01-01,203.437
CUSR0000SA0,2007-02-01,204.226
CUSR0000SA0,2007-03-01,205.288
CUSR0000SA0,2007-04-01,205.904
CUSR0000SA0,2007-05-01,206.755
CUSR0000SA0,2007-06-01,207.234
CUSR0000SA0,2007-07-01,207.603
CUSR0000SA0,2007-08-01,207.667
CUSR0000SA0,2007-09-01,208.547
CUSR0000SA0,2007-10-01,209.19
CUSR0000SA0,2007-11-01,210.834
CUSR0000SA0,2007-12-01,211.445
CUSR0000SA0,2008-01-01,212.174
CUSR0000SA0,2008-02-01,212.687
CUSR0000SA0,2008-03-01,213.448
CUSR0000SA0,2008-04-01,213.942
CUSR0000SA0,2008-05-01,215.208
CUSR0000SA0,2008-06-01,217.463
CUSR0000SA0,2008-07-01,219.016
CUSR0000SA0,2008-08-01,218.69
CUSR0000SA0,2008-09-01,218.877
CUSR0000SA0,2008-10-01,216.995
CUSR0000SA0,2008-11-01,213.153
CUSR0000SA0,2008-12-01,211.398
CUSR0000SA0,2009-01-01,211.933
CUSR0000SA0,2009-02-01,212.705
CUSR0000SA0,2009-03-01,212.495
CUSR0000SA0,2009-04-01,212.709
CUSR0000SA0,2009-05-01,213.022
CUSR0000SA0,2009-06-01,214.79
CUSR0000SA0,2009-07-01,214.726
CUSR0000SA0,2009-08-01,215.445
CUSR0000SA0,2009-09-01,215.861
CUSR0000SA0,2009-10-01,216.509
CUSR0000SA0,2009-11-01,217.234
CUSR0000SA0,2009-12-01,217.347
CUSR0000SA0,2010-01-01,217.488
CUSR0000SA0,2010-02-01,217.281
CUSR0000SA0,2010-03-01,217.353
CUSR0000SA0,2010-04-01,217.403
CUSR0000SA0,2010-05-01,217.29
CUSR0000SA0,2010-06-01,217.199
CUSR0000SA0,2010-07-01,217.605
CUSR0000SA0,2010-08-01,217.923
CUSR0000SA0,2010-09-01,218.275
CUSR0000SA0,2010-10-01,219.035
CUSR0000SA0,2010-11-01,219.59
CUSR0000SA0,2010-12-01,220.472
CUSR0000SA0,2011-01-01,221.187
CUSR0000SA0,2011-02-01,221.898
CUSR0000SA0,2011-03-01,223.046
CUSR0000SA0,2011-04-01,224.093
CUSR0000SA0,2011-05-01,224.806
CUSR0000SA0,2011-06-01,224.806
CUSR0000SA0,2011-07-01,225.395
CUSR0000SA0,2011-08-01,226.106
CUSR0000SA0,2011-09-01,226.597
CUSR0000SA0,2011-10-01,226.75
CUSR0000SA0,2011-11-01,227.169
CUSR0000SA0,2011-12-01,227.223
CUSR0000SA0,2012-01-01,227.842
CUSR0000SA0,2012-02-01,228.329
CUSR0000SA0,2012-03-01,228.807
CUSR0000SA0,2012-04-01,229.187
CUSR0000SA0,2012-05-01,228.713
CUSR0000SA0,2012-06-01,228.524
CUSR0000SA0,2012-07-01,228.59
CUSR0000SA0,2012-08-01,229.918
CUSR0000SA0,2012-09-01,231.015
CUSR0000SA0,2012-10-01,231.638
CUSR0000SA0,2012-11-01,231.249
CUSR0000SA0,2012-12-01,231.221
CUSR0000SA0,2013-01-01,231.679
CUSR0000SA0,2013-02-01,232.937
CUSR0000SA0,2013-03-01,232.282
CUSR0000SA0,2013-04-01,231.797
CUSR0000SA0,2013-05-01,231.893
CUSR0000SA0,2013-06-01,232.445
CUSR0000SA0,2013-07-01,232.9
CUSR0000SA0,2013-08-01,233.456
CUSR0000SA0,2013-09-01,233.544
CUSR0000SA0,2013-10-01,233.669
CUSR0000SA0,2013-11-01,234.1
CUSR0000SA0,2013-12-01,234.719
CUSR0000SA0,2014-01-01,235.288
CUSR0000SA0,2014-02-01,235.547
CUSR0000SA0,2014-03-01,236.028
CUSR0000SA0,2014-04-01,236.468
CUSR0000SA0,2014-05-01,236.918
CUSR0000SA0,2014-06-01,237.231
CUSR0000SA0,2014-07-01,237.498
CUSR0000SA0,2014-08-01,237.46
CUSR0000SA0,2014-09-01,237.477
CUSR0000SA0,2014-10-01,237.43
CUSR0000SA0,2014-11-01,236.983
CUSR0000SA0,2014-12-01,236.252
CUSR0000SA0,2015-01-01,234.747
CUSR0000SA0,2015-02-01,235.342
CUSR0000SA0,2015-03-01,235.976
CUSR0000SA0,2015-04-01,236.222
CUSR0000SA0,2015-05-01,237.001
CUSR0000SA0,2015-06-01,237.657
CUSR0000SA0,2015-07-01,238.034
CUSR0000SA0,2015-08-01,238.033
CUSR0000SA0,2015-09-01,237.498
CUSR0000SA0,2015-10-01,237.733
CUSR0000SA0,2015-11-01,238.017
CUSR0000SA0,2015-12-01,237.761
CUSR0000SA0,2016-01-01,237.652
CUSR0000SA0,2016-02-01,237.336
CUSR0000SA0,2016-03-01,238.08
CUSR0000SA0,2016-04-01,238.992
CUSR0000SA0,2016-05-01,239.557
CUSR0000SA0,2016-06-01,240.222
CUSR0000SA0,2016-07-01,240.101
CUSR0000SA0,2016-08-01,240.545
CUSR0000SA0,2016-09-01,241.176
CUSR0000SA0,2016-10-01,241.741
CUSR0000SA0,2016-11-01,242.026
CUSR0000SA0,2016-12-01,242.637
CUSR0000SA0,2017-01-01,243.618
CUSR0000SA0,2017-02-01,244.006
CUSR0000SA0,2017-03-01,243.892
CUSR0000SA0,2017-04-01,244.193
CUSR0000SA0,2017-05-01,244.004
CUSR0000SA0,2017-06-01,244.163
CUSR0000SA0,2017-07-01,244.243
CUSR0000SA0,2017-08-01,245.183
CUSR0000SA0,2017-09-01,246.435
CUSR0000SA0,2017-10-01,246.626
CUSR0000SA0,2017-11-01,247.284
CUSR0000SA0,2017-12-01,247.805
CUSR0000SA0,2018-01-01,248.859
CUSR0000SA0,2018-02-01,249.529
CUSR0000SA0,2018-03-01,249.577
CUSR0000SA0,2018-04-01,250.227
CUSR0000SA0,2018-05-01,250.792
CUSR0000SA0,2018-06-01,251.018
CUSR0000SA0,2018-07-01,251.214
CUSR0000SA0,2018-08-01,251.663
CUSR0000SA0,2018-09-01,252.182
CUSR0000SA0,2018-10-01,252.772
CUSR0000SA0,2018-11-01,252.594
CUSR0000SA0,2018-12-01,252.767
CUSR0000SA0,2019-01-01,252.561
CUSR0000SA0,2019-02-01,253.319
CUSR0000SA0,2019-03-01,254.277
CUSR0000SA0,2019-04-01,255.233
CUSR0000SA0,2019-05-01,255.296
CUSR0000SA0,2019-06-01,255.213
CUSR0000SA0,2019-07-01,255.802
CUSR0000SA0,2019-08-01,256.036
CUSR0000SA0,2019-09-01,256.43
CUSR0000SA0,2019-10-01,257.155
CUSR0000SA0,2019-11-01,257.879
CUSR0000SA0,2019-12-01,258.63
LNS14000000,2000-01-01,4
LNS14000000,2000-02-01,4.1
LNS14000000,2000-03-01,4
LNS14000000,2000-04-01,3.8
LNS14000000,2000-05-01,4
LNS14000000,2000-06-01,4
LNS14000000,2000-07-01,4
LNS14000000,2000-08-01,4.1
LNS14000000,2000-09-01,3.9
LNS14000000,2000-10-01,3.9
LNS14000000,2000-11-01,3.9
LNS14000000,2000-12-01,3.9
LNS14000000,2001-01-01,4.2
LNS14000000,2001-02-01,4.2
LNS14000000,2001-03-01,4.3
LNS14000000,2001-04-01,4.4
LNS14000000,2001-05-01,4.3
LNS14000000,2001-06-01,4.5
LNS14000000,2001-07-01,4.6
LNS14000000,2001-08-01,4.9
LNS14000000,2001-09-01,5
LNS14000000,2001-10-01,5.3
LNS14000000,2001-11-01,5.5
LNS14000000,2001-12-01,5.7
LNS14000000,2002-01-01,5.7
LNS14000000,2002-02-01,5.7
LNS14000000,2002-03-01,5.7
LNS14000000,2002-04-01,5.9
LNS14000000,2002-05-01,5.8
LNS14000000,2002-06-01,5.8
LNS14000000,2002-07-01,5.8
LNS14000000,2002-08-01,5.7
LNS14000000,2002-09-01,5.7
LNS14000000,2002-10-01,5.7
LNS14000000,2002-11-01,5.9
LNS14000000,2002-12-01,6
LNS14000000,2003-01-01,5.8
LNS14000000,2003-02-01,5.9
LNS14000000,2003-03-01,5.9
LNS14000000,2003-04-01,6
LNS14000000,2003-05-01,6.1
LNS14000000,2003-06-01,6.3
LNS14000000,2003-07-01,6.2
LNS14000000,2003-08-01,6.1
LNS14000000,2003-09-01,6.1
LNS14000000,2003-10-01,6
LNS14000000,2003-11-01,5.8
LNS14000000,2003-12-01,5.7
LNS14000000,2004-01-01,5.7
LNS14000000,2004-02-01,5.6
LNS14000000,2004-03-01,5.8
LNS14000000,2004-04-01,5.6
LNS14000000,2004-05-01,5.6
LNS14000000,2004-06-01,5.6
LNS14000000,2004-07-01,5.5
LNS14000000,2004-08-01,5.4
LNS14000000,2004-09-01,5.4
LNS14000000,2004-10-01,5.5
LNS14000000,2004-11-01,5.4
LNS14000000,2004-12-01,5.4
LNS14000000,2005-01-01,5.3
LNS14000000,2005-02-01,5.4
LNS14000000,2005-03-01,5.2
LNS14000000,2005-04-01,5.2
LNS14000000,2005-05-01,5.1
LNS14000000,2005-06-01,5
LNS14000000,2005-07-01,5
LNS14000000,2005-08-01,4.9
LNS14000000,2005-09-01,5
LNS14000000,2005-10-01,5
LNS14000000,2005-11-01,5
LNS14000000,2005-12-01,4.9
LNS14000000,2006-01-01,4.7
LNS14000000,2006-02-01,4.8
LNS14000000,2006-03-01,4.7
LNS14000000,2006-04-01,4.7
LNS14000000,2006-05-01,4.6
LNS14000000,2006-06-01,4.6
LNS14000000,2006-07-01,4.7
LNS14000000,2006-08-01,4.7
LNS14000000,2006-09-01,4.5
LNS14000000,2006-10-01,4.4
LNS14000000,2006-11-01,4.5
LNS14000000,2006-12-01,4.4
LNS14000000,2007-01-01,4.6
LNS14000000,2007-02-01,4.5
LNS14000000,2007-03-01,4.4
LNS14000000,2007-04-01,4.5
LNS14000000,2007-05-01,4.4
LNS14000000,2007-06-01,4.6
LNS14000000,2007-07-01,4.7
LNS14000000,2007-08-01,4.6
LNS14000000,2007-09-01,4.7
LNS14000000,2007-10-01,4.7
LNS14000000,2007-11-01,4.7
LNS14000000,2007-12-01,5
LNS14000000,2008-01-01,5
LNS14000000,2008-02-01,4.9
LNS14000000,2008-03-01,5.1
LNS14000000,2008-04-01,5
LNS14000000,2008-05-01,5.4
LNS14000000,2008-06-01,5.6
LNS14000000,2008-07-01,5.8
LNS14000000,2008-08-01,6.1
LNS14000000,2008-09-01,6.1
LNS14000000,2008-10-01,6.5
LNS14000000,2008-11-01,6.8
LNS14000000,2008-12-01,7.3
LNS14000000,2009-01-01,7.8
LNS14000000,2009-02-01,8.3
LNS14000000,2009-03-01,8.7
LNS14000000,2009-04-01,9
LNS14000000,2009-05-01,9.4
LNS14000000,2009-06-01,9.5
LNS14000000,2009-07-01,9.5
LNS14000000,2009-08-01,9.6
LNS14000000,2009-09-01,9.8
LNS14000000,2009-10-01,10
LNS14000000,2009-11-01,9.9
LNS14000000,2009-12-01,9.9
LNS14000000,2010-01-01,9.8
LNS14000000,2010-02-01,9.8
LNS14000000,2010-03-01,9.9
LNS14000000,2010-04-01,9.9
LNS14000000,2010-05-01,9.6
LNS14000000,2010-06-01,9.4
LNS14000000,2010-07-01,9.4
LNS14000000,2010-08-01,9.5
LNS14000000,2010-09-01,9.5
LNS14000000,2010-10-01,9.4
LNS14000000,2010-11-01,9.8
LNS14000000,2010-12-01,9.3
LNS14000000,2011-01-01,9.1
LNS14000000,2011-02-01,9
LNS14000000,2011-03-01,9
LNS14000000,2011-04-01,9.1
LNS14000000,2011-05-01,9
LNS14000000,2011-06-01,9.1
LNS14000000,2011-07-01,9
LNS14000000,2011-08-01,9
LNS14000000,2011-09-01,9
LNS14000000,2011-10-01,8.8
LNS14000000,2011-11-01,8.6
LNS14000000,2011-12-01,8.5
LNS14000000,2012-01-01,8.3
LNS14000000,2012-02-01,8.3
LNS14000000,2012-03-01,8.2
LNS14000000,2012-04-01,8.2
LNS14000000,2012-05-01,8.2
LNS14000000,2012-06-01,8.2
LNS14000000,2012-07-01,8.2
LNS14000000,2012-08-01,8.1
LNS14000000,2012-09-01,7.8
LNS14000000,2012-10-01,7.8
LNS14000000,2012-11-01,7.7
LNS14000000,2012-12-01,7.9
LNS14000000,2013-01-01,8
LNS14000000,2013-02-01,7.7
LNS14000000,2013-03-01,7.5
LNS14000000,2013-04-01,7.6
LNS14000000,2013-05-01,7.5
LNS14000000,2013-06-01,7.5
LNS14000000,2013-07-01,7.3
LNS14000000,2013-08-01,7.2
LNS14000000,2013-09-01,7.2
LNS14000000,2013-10-01,7.2
LNS14000000,2013-11-01,6.9
LNS14000000,2013-12-01,6.7
LNS14000000,2014-01-01,6.6
LNS14000000,2014-02-01,6.7
LNS14000000,2014-03-01,6.7
LNS14000000,2014-04-01,6.2
LNS14000000,2014-05-01,6.3
LNS14000000,2014-06-01,6.1
LNS14000000,2014-07-01,6.2
LNS14000000,2014-08-01,6.1
LNS14000000,2014-09-01,5.9
LNS14000000,2014-10-01,5.7
LNS14000000,2014-11-01,5.8
LNS14000000,2014-12-01,5.6
LNS14000000,2015-01-01,5.7
LNS14000000,2015-02-01,5.5
LNS14000000,2015-03-01,5.4
LNS14000000,2015-04-01,5.4
LNS14000000,2015-05-01,5.6
LNS14000000,2015-06-01,5.3
LNS14000000,2015-07-01,5.2
LNS14000000,2015-08-01,5.1
LNS14000000,2015-09-01,5
LNS14000000,2015-10-01,5
LNS14000000,2015-11-01,5.1
LNS14000000,2015-12-01,5
LNS14000000,2016-01-01,4.8
LNS14000000,2016-02-01,4.9
LNS14000000,2016-03-01,5
LNS14000000,2016-04-01,5.1
LNS14000000,2016-05-01,4.8
LNS14000000,2016-06-01,4.9
LNS14000000,2016-07-01,4.8
LNS14000000,2016-08-01,4.9
LNS14000000,2016-09-01,5
LNS14000000,2016-10-01,4.9
LNS14000000,2016-11-01,4.7
LNS14000000,2016-12-01,4.7
LNS14000000,2017-01-01,4.7
LNS14000000,2017-02-01,4.6
LNS14000000,2017-03-01,4.4
LNS14000000,2017-04-01,4.4
LNS14000000,2017-05-01,4.4
LNS14000000,2017-06-01,4.3
LNS14000000,2017-07-01,4.3
LNS14000000,2017-08-01,4.4
LNS14000000,2017-09-01,4.3
LNS14000000,2017-10-01,4.2
LNS14000000,2017-11-01,4.2
LNS14000000,2017-12-01,4.1
LNS14000000,2018-01-01,4
LNS14000000,2018-02-01,4.1
LNS14000000,2018-03-01,4
LNS14000000,2018-04-01,4
LNS14000000,2018-05-01,3.8
LNS14000000,2018-06-01,4
LNS14000000,2018-07-01,3.8
LNS14000000,2018-08-01,3.8
LNS14000000,2018-09-01,3.7
LNS14000000,2018-10-01,3.8
LNS14000000,2018-11-01,3.8
LNS14000000,2018-12-01,3.9
LNS14000000,2019-01-01,4
LNS14000000,2019-02-01,3.8
LNS14000000,2019-03-01,3.8
LNS14000000,2019-04-01,3.7
LNS14000000,2019-05-01,3.6
LNS14000000,2019-06-01,3.6
LNS14000000,2019-07-01,3.7
LNS14000000,2019-08-01,3.6
LNS14000000,2019-09-01,3.5
LNS14000000,2019-10-01,3.6
LNS14000000,2019-11-01,3.6
LNS14000000,2019-12-01,3.6
