state,year,grade,likert,state_abbr
Alabama,2017,F,1,AL
Alaska,2017,F,1,AK
Arizona,2017,F,1,AZ
Arkansas,2017,F,1,AR
California,2017,A,5,CA
Colorado,2017,C,3,CO
Connecticut,2017,A-,5,CT
Delaware,2017,B,4,DE
Florida,2017,F,1,FL
Georgia,2017,F,1,GA
Hawaii,2017,A-,5,HI
Idaho,2017,F,1,ID
Illinois,2017,B+,4,IL
Indiana,2017,D-,2,IN
Iowa,2017,C-,3,IA
Kansas,2017,F,1,KS
Kentucky,2017,F,1,KY
Louisiana,2017,F,1,LA
Maine,2017,F,1,ME
Maryland,2017,A-,5,MD
Massachusetts,2017,A-,5,MA
Michigan,2017,C,3,MI
Minnesota,2017,C+,3,MN
Mississippi,2017,F,1,MS
Missouri,2017,F,1,MO
Montana,2017,F,1,MT
Nebraska,2017,D,2,NE
Nevada,2017,D,2,NV
New Hampshire,2017,F,1,NH
New Jersey,2017,A-,5,NJ
New Mexico,2017,F,1,NM
New York,2017,A-,5,NY
North Carolina,2017,D-,2,NC
North Dakota,2017,F,1,ND
Ohio,2017,D,2,OH
Oklahoma,2017,F,1,OK
Oregon,2017,C,3,OR
Pennsylvania,2017,C,3,PA
Rhode Island,2017,B+,4,RI
South Carolina,2017,F,1,SC
South Dakota,2017,F,1,SD
Tennessee,2017,D-,2,TN
Texas,2017,F,1,TX
Utah,2017,F,1,UT
Vermont,2017,F,1,VT
Virginia,2017,D,2,VA
Washington,2017,B,4,WA
West Virginia,2017,F,1,WV
Wisconsin,2017,C-,3,WI
Wyoming,2017,F,1,WY
Alabama,2018,F,1,AL
Alaska,2018,F,1,AK
Arizona,2018,F,1,AZ
Arkansas,2018,F,1,AR
California,2018,A,5,CA
Colorado,2018,C,3,CO
Connecticut,2018,A-,5,CT
Delaware,2018,B,4,DE
Florida,2018,C-,3,FL
Georgia,2018,F,1,GA
Hawaii,2018,A-,5,HI
Idaho,2018,F,1,ID
Illinois,2018,B+,4,IL
Indiana,2018,D-,2,IN
Iowa,2018,C,3,IA
Kansas,2018,F,1,KS
Kentucky,2018,F,1,KY
Louisiana,2018,F,1,LA
Maine,2018,F,1,ME
Maryland,2018,A-,5,MD
Massachusetts,2018,A-,5,MA
Michigan,2018,C,3,MI
Minnesota,2018,C+,3,MN
Mississippi,2018,F,1,MS
Missouri,2018,F,1,MO
Montana,2018,F,1,MT
Nebraska,2018,C-,3,NE
Nevada,2018,D,2,NV
New Hampshire,2018,F,1,NH
New Jersey,2018,A,5,NJ
New Mexico,2018,F,1,NM
New York,2018,A-,5,NY
North Carolina,2018,D,2,NC
North Dakota,2018,F,1,ND
Ohio,2018,D,2,OH
Oklahoma,2018,F,1,OK
Oregon,2018,C+,3,OR
Pennsylvania,2018,C+,3,PA
Rhode Island,2018,B+,4,RI
South Carolina,2018,F,1,SC
South Dakota,2018,F,1,SD
Tennessee,2018,D-,2,TN
Texas,2018,F,1,TX
Utah,2018,D-,2,UT
Vermont,2018,D+,2,VT
Virginia,2018,D,2,VA
Washington,2018,B+,4,WA
West Virginia,2018,F,1,WV
Wisconsin,2018,C-,3,WI
Wyoming,2018,F,1,WY
Alabama,2019,F,1,AL
Alaska,2019,F,1,AK
Arizona,2019,F,1,AZ
Arkansas,2019,F,1,AR
California,2019,A,5,CA
Colorado,2019,C+,3,CO
Connecticut,2019,A-,5,CT
Delaware,2019,B,4,DE
Florida,2019,C-,3,FL
Georgia,2019,F,1,GA
Hawaii,2019,A-,5,HI
Idaho,2019,F,1,ID
Illinois,2019,A-,5,IL
Indiana,2019,D-,2,IN
Iowa,2019,C,3,IA
Kansas,2019,F,1,KS
Kentucky,2019,F,1,KY
Louisiana,2019,F,1,LA
Maine,2019,F,1,ME
Maryland,2019,A-,5,MD
Massachusetts,2019,A-,5,MA
Michigan,2019,C,3,MI
Minnesota,2019,C+,3,MN
Mississippi,2019,F,1,MS
Missouri,2019,F,1,MO
Montana,2019,F,1,MT
Nebraska,2019,C,3,NE
Nevada,2019,C+,3,NV
New Hampshire,2019,F,1,NH
New Jersey,2019,A,5,NJ
New Mexico,2019,C,3,NM
New York,2019,A-,5,NY
North Carolina,2019,D,2,NC
North Dakota,2019,F,1,ND
Ohio,2019,D,2,OH
Oklahoma,2019,F,1,OK
Oregon,2019,C+,3,OR
Pennsylvania,2019,C+,3,PA
Rhode Island,2019,B+,4,RI
South Carolina,2019,F,1,SC
South Dakota,2019,F,1,SD
Tennessee,2019,D-,2,TN
Texas,2019,F,1,TX
Utah,2019,D,2,UT
Vermont,2019,C-,3,VT
Virginia,2019,D,2,VA
Washington,2019,B+,4,WA
West Virginia,2019,F,1,WV
Wisconsin,2019,C-,3,WI
Wyoming,2019,F,1,WY
Alabama,2020,F,1,AL
Alaska,2020,F,1,AK
Arizona,2020,F,1,AZ
Arkansas,2020,F,1,AR
California,2020,A,5,CA
Colorado,2020,C+,3,CO
Connecticut,2020,A-,5,CT
Delaware,2020,B,4,DE
Florida,2020,C-,3,FL
Georgia,2020,F,1,GA
Hawaii,2020,A-,5,HI
Idaho,2020,F,1,ID
Illinois,2020,A-,5,IL
Indiana,2020,D,2,IN
Iowa,2020,C,3,IA
Kansas,2020,F,1,KS
Kentucky,2020,F,1,KY
Louisiana,2020,F,1,LA
Maine,2020,F,1,ME
Maryland,2020,A-,5,MD
Massachusetts,2020,A-,5,MA
Michigan,2020,C,3,MI
Minnesota,2020,C+,3,MN
Mississippi,2020,F,1,MS
Missouri,2020,F,1,MO
Montana,2020,F,1,MT
Nebraska,2020,C,3,NE
Nevada,2020,C+,3,NV
New Hampshire,2020,F,1,NH
New Jersey,2020,A,5,NJ
New Mexico,2020,C+,3,NM
New York,2020,A-,5,NY
North Carolina,2020,D,2,NC
North Dakota,2020,F,1,ND
Ohio,2020,D,2,OH
Oklahoma,2020,F,1,OK
Oregon,2020,C+,3,OR
Pennsylvania,2020,C+,3,PA
Rhode Island,2020,B+,4,RI
South Carolina,2020,F,1,SC
South Dakota,2020,F,1,SD
Tennessee,2020,D-,2,TN
Texas,2020,F,1,TX
Utah,2020,D,2,UT
Vermont,2020,C-,3,VT
Virginia,2020,B,4,VA
Washington,2020,B+,4,WA
West Virginia,2020,F,1,WV
Wisconsin,2020,C-,3,WI
Wyoming,2020,F,1,WY
Alabama,2021,F,1,AL
Alaska,2021,F,1,AK
Arizona,2021,F,1,AZ
Arkansas,2021,F,1,AR
California,2021,A,5,CA
Colorado,2021,B,4,CO
Connecticut,2021,A-,5,CT
Delaware,2021,B,4,DE
Florida,2021,C-,3,FL
Georgia,2021,F,1,GA
Hawaii,2021,A-,5,HI
Idaho,2021,F,1,ID
Illinois,2021,A-,5,IL
Indiana,2021,D-,2,IN
Iowa,2021,F,1,IA
Kansas,2021,F,1,KS
Kentucky,2021,F,1,KY
Louisiana,2021,F,1,LA
Maine,2021,F,1,ME
Maryland,2021,A-,5,MD
Massachusetts,2021,A-,5,MA
Michigan,2021,C+,3,MI
Minnesota,2021,C+,3,MN
Mississippi,2021,F,1,MS
Missouri,2021,F,1,MO
Montana,2021,F,1,MT
Nebraska,2021,C-,3,NE
Nevada,2021,C+,3,NV
New Hampshire,2021,F,1,NH
New Jersey,2021,A,5,NJ
New Mexico,2021,C,3,NM
New York,2021,A-,5,NY
North Carolina,2021,C-,3,NC
North Dakota,2021,F,1,ND
Ohio,2021,D,2,OH
Oklahoma,2021,F,1,OK
Oregon,2021,B-,4,OR
Pennsylvania,2021,B-,4,PA
Rhode Island,2021,B,4,RI
South Carolina,2021,F,1,SC
South Dakota,2021,F,1,SD
Tennessee,2021,F,1,TN
Texas,2021,F,1,TX
Utah,2021,F,1,UT
Vermont,2021,C-,3,VT
Virginia,2021,B,4,VA
Washington,2021,B,4,WA
West Virginia,2021,F,1,WV
Wisconsin,2021,C-,3,WI
Wyoming,2021,F,1,WY
Alabama,2022,F,1,AL
Alaska,2022,F,1,AK
Arizona,2022,F,1,AZ
Arkansas,2022,F,1,AR
California,2022,A,5,CA
Colorado,2022,B,4,CO
Connecticut,2022,A-,5,CT
Delaware,2022,B,4,DE
Florida,2022,C-,3,FL
Georgia,2022,F,1,GA
Hawaii,2022,A-,5,HI
Idaho,2022,F,1,ID
Illinois,2022,A-,5,IL
Indiana,2022,F,1,IN
Iowa,2022,F,1,IA
Kansas,2022,F,1,KS
Kentucky,2022,F,1,KY
Louisiana,2022,F,1,LA
Maine,2022,F,1,ME
Maryland,2022,A-,5,MD
Massachusetts,2022,A-,5,MA
Michigan,2022,C+,3,MI
Minnesota,2022,C+,3,MN
Mississippi,2022,F,1,MS
Missouri,2022,F,1,MO
Montana,2022,F,1,MT
Nebraska,2022,C,3,NE
Nevada,2022,C+,3,NV
New Hampshire,2022,F,1,NH
New Jersey,2022,A,5,NJ
New Mexico,2022,C+,3,NM
New York,2022,A-,5,NY
North Carolina,2022,C,3,NC
North Dakota,2022,F,1,ND
Ohio,2022,F,1,OH
Oklahoma,2022,F,1,OK
Oregon,2022,B+,4,OR
Pennsylvania,2022,B-,4,PA
Rhode Island,2022,B+,4,RI
South Carolina,2022,F,1,SC
South Dakota,2022,F,1,SD
Tennessee,2022,F,1,TN
Texas,2022,F,1,TX
Utah,2022,F,1,UT
Vermont,2022,C-,3,VT
Virginia,2022,B,4,VA
Washington,2022,B+,4,WA
West Virginia,2022,F,1,WV
Wisconsin,2022,D+,2,WI
Wyoming,2022,F,1,WY
Alabama,2023,F,1,AL
Alaska,2023,F,1,AK
Arizona,2023,F,1,AZ
Arkansas,2023,F,1,AR
California,2023,A,5,CA
Colorado,2023,A-,5,CO
Connecticut,2023,A,5,CT
Delaware,2023,B+,4,DE
Florida,2023,D+,2,FL
Georgia,2023,F,1,GA
Hawaii,2023,A-,5,HI
Idaho,2023,F,1,ID
Illinois,2023,A-,5,IL
Indiana,2023,D-,2,IN
Iowa,2023,F,1,IA
Kansas,2023,F,1,KS
Kentucky,2023,F,1,KY
Louisiana,2023,F,1,LA
Maine,2023,D-,2,ME
Maryland,2023,A-,5,MD
Massachusetts,2023,A-,5,MA
Michigan,2023,B-,4,MI
Minnesota,2023,B,4,MN
Mississippi,2023,F,1,MS
Missouri,2023,F,1,MO
Montana,2023,F,1,MT
Nebraska,2023,C-,3,NE
Nevada,2023,B-,4,NV
New Hampshire,2023,D-,2,NH
New Jersey,2023,A,5,NJ
New Mexico,2023,C+,3,NM
New York,2023,A-,5,NY
North Carolina,2023,C-,3,NC
North Dakota,2023,F,1,ND
Ohio,2023,D-,2,OH
Oklahoma,2023,F,1,OK
Oregon,2023,A-,5,OR
Pennsylvania,2023,B,4,PA
Rhode Island,2023,B+,4,RI
South Carolina,2023,D-,2,SC
South Dakota,2023,F,1,SD
Tennessee,2023,F,1,TN
Texas,2023,F,1,TX
Utah,2023,F,1,UT
Vermont,2023,B-,4,VT
Virginia,2023,B+,4,VA
Washington,2023,A-,5,WA
West Virginia,2023,F,1,WV
Wisconsin,2023,C,3,WI
Wyoming,2023,F,1,WY
Alabama,2024,F,1,AL
Alaska,2024,F,1,AK
Arizona,2024,F,1,AZ
Arkansas,2024,F,1,AR
California,2024,A,5,CA
Colorado,2024,A-,5,CO
Connecticut,2024,A,5,CT
Delaware,2024,A-,5,DE
Florida,2024,C-,3,FL
Georgia,2024,F,1,GA
Hawaii,2024,A-,5,HI
Idaho,2024,F,1,ID
Illinois,2024,A-,5,IL
Indiana,2024,D-,2,IN
Iowa,2024,F,1,IA
Kansas,2024,F,1,KS
Kentucky,2024,F,1,KY
Louisiana,2024,F,1,LA
Maine,2024,C+,3,ME
Maryland,2024,A-,5,MD
Massachusetts,2024,A,5,MA
Michigan,2024,B-,4,MI
Minnesota,2024,B,4,MN
Mississippi,2024,F,1,MS
Missouri,2024,F,1,MO
Montana,2024,F,1,MT
Nebraska,2024,C-,3,NE
Nevada,2024,B-,4,NV
New Hampshire,2024,D-,2,NH
New Jersey,2024,A,5,NJ
New Mexico,2024,B-,4,NM
New York,2024,A,5,NY
North Carolina,2024,C-,3,NC
North Dakota,2024,F,1,ND
Ohio,2024,D-,2,OH
Oklahoma,2024,F,1,OK
Oregon,2024,A-,5,OR
Pennsylvania,2024,B,4,PA
Rhode Island,2024,A-,5,RI
South Carolina,2024,F,1,SC
South Dakota,2024,F,1,SD
Tennessee,2024,F,1,TN
Texas,2024,F,1,TX
Utah,2024,F,1,UT
Vermont,2024,B-,4,VT
Virginia,2024,B+,4,VA
Washington,2024,A-,5,WA
West Virginia,2024,F,1,WV
Wisconsin,2024,C,3,WI
Wyoming,2024,F,1,WY
